Keyword,Currency,Avg monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
30 day workout challenge,INR,500,0%,0%,Low,10,1.77,49.71
snap fitness prices,INR,50,0%,0%,Low,14,58.31,143.9
good chest workouts,INR,50,0%,0%,Low,0,,
4 fitness,INR,50,0%,0%,Low,15,,
aqua aerobics near me,INR,500,0%,0%,Low,11,10.35,53
morning workout,INR,5000,0%,0%,Low,4,1.35,55.35
anytime fitness membership price,INR,500,0%,0%,Low,8,15.69,49.9
crossfit training,INR,5000,0%,0%,Low,2,4.11,56.51
upper back workouts,INR,500,-90%,0%,Low,1,,
aqua gym,INR,500,0%,0%,Low,0,,
fitnation,INR,500,0%,0%,Low,1,1.25,35.73
raw fitness,INR,500,900%,900%,Low,3,,
maxfit,INR,500,0%,0%,Low,17,21.15,87.64
urban gym,INR,500,0%,0%,Low,0,,
star fitness,INR,500,0%,0%,Low,8,33.93,114.8
core gym,INR,500,0%,0%,Low,1,,
group fitness,INR,500,0%,900%,Low,1,,
fitness program,INR,500,0%,0%,Low,18,9.52,59.55
upper body workout gym,INR,5000,0%,0%,Low,4,7.11,82.99
private gym,INR,500,0%,0%,Low,2,20.03,48.25
star gym,INR,5000,0%,0%,Low,1,2.42,58.38
best workouts to lose weight,INR,5000,0%,0%,Low,12,3.41,45.59
bicep workouts with dumbbells,INR,5000,0%,0%,Low,3,14.8,51.81
workout for abs,INR,50000,0%,0%,Low,3,1.64,9.59
chloe ting ab workout,INR,500,0%,0%,Low,0,,
aerobic fitness,INR,500,0%,0%,Low,0,,
xterra treadmill,INR,500,0%,0%,High,100,2.94,13.55
shape magazine,INR,500,0%,0%,Low,7,,
metcon crossfit,INR,50,0%,0%,Low,0,,
beginner calisthenics workout,INR,500,0%,0%,Low,3,1.64,30.1
exercise band,INR,5000,0%,0%,High,100,1.08,12.33
medicine ball workouts,INR,500,0%,0%,Medium,56,1.1,21.83
upper body workout for women,INR,500,0%,0%,Low,3,4.11,105.26
fitness first near me,INR,500,0%,0%,Low,8,29.88,30.11
fitness freak,INR,5000,0%,0%,Low,2,45.84,113.99
infinity gym,INR,500,0%,0%,Low,1,,
universal gym,INR,5000,0%,0%,Low,5,25.08,97.49
20 minute workout,INR,500,0%,0%,Low,2,,
beginner gym workout,INR,5000,0%,0%,Low,9,2.65,35.82
good shoulder workouts,INR,50,0%,0%,Low,0,,
best tricep workouts,INR,5000,0%,0%,Low,1,0.82,29.14
ultimate abs 360,INR,50,0%,∞,High,75,,
group fitness classes near me,INR,500,0%,0%,Low,26,11.73,62.5
workout exercises,INR,5000,0%,0%,Low,4,1.34,30.16
circuit training exercises,INR,5000,0%,0%,Low,0,7.97,77.3
full back workout,INR,5000,0%,900%,Low,1,,
12.3 30 workout,INR,500,0%,900%,Low,2,,
12.3 30 treadmill workout,INR,500,-90%,∞,Low,0,,
gym program,INR,500,0%,0%,Low,9,7.91,43.7
fitness challenge,INR,500,0%,0%,Low,10,17.55,70.47
absolute fitness,INR,500,900%,900%,Low,1,39.91,114.92
triceps workout at gym,INR,50000,0%,0%,Low,1,1.64,57.56
gym buddy,INR,500,0%,0%,Low,3,23.02,120.94
active gym,INR,500,0%,0%,Low,5,2.42,132.9
sit workout,INR,500,0%,900%,Low,9,11.51,40.29
calisthenics park near me,INR,500,0%,0%,Low,2,44.24,95.39
skyfit,INR,500,0%,900%,Low,0,,
noah ohlsen,INR,500,0%,-90%,Low,0,,
saitama workout,INR,500,0%,0%,Low,4,,
best full body workout,INR,500,0%,0%,Low,4,1.75,72.55
mfitness,INR,500,0%,0%,Low,0,,
figure 8 fitness,INR,50,0%,-90%,Low,0,,
leg day workout women,INR,500,0%,0%,Low,0,,
lifefit,INR,50,0%,0%,Low,1,,
balance gym,INR,50,900%,0%,Low,2,,
level fitness,INR,50,0%,0%,Low,1,,
fitness instructor,INR,500,0%,0%,Low,12,7.53,53.48
arnold schwarzenegger workout,INR,500,0%,0%,Low,0,,
ab stimulator,INR,5000,0%,900%,High,100,1.09,3.29
perfect pushup,INR,500,0%,0%,Low,8,,
amrap workout,INR,500,0%,0%,Low,0,,
better gym membership,INR,50,0%,0%,Low,19,,
women's only gym near me,INR,500,900%,900%,Low,5,9.63,46.87
barbell workout,INR,500,0%,0%,Low,10,,
